State,Check,Notes,Final Grade,Grade (anything in parentheses is more generous grading),Reasoning,How to improve (rough thoughts),Questions,,Standards related to data science,Standards/curriculum cont.,"NGSS- Have data analysis, interpretation, modeling; though very narrowly focused on science concepts, not clear how advanced/applicable it will be ",CTE if it has relevant material (if nothing then no state-wide list),Separate class/curriculum or incorporated into other classes,Taking Initiative/state level focus? (has it been in the news recently/are there dedicated programs),Levels of instruction,"Grad Requirements (flexibility) in math, data science (note individual districts may have more specifics)",Grad Requirement cont.,Availability/Access,Public university entry requirements  math- most specify they want you to take challenging courswork,Other notes,,Other
Hawaii,,,D-,D-,"Straightforward: some comp sci and math standards, no state focus",State plan; incorporate data analysis standards into classes,,,"Follows CSTA K-12 standards, has limited instruction on data literacy/analysis ","Uses Common Core for math, has section on interpreting data",Adopted,not much,In math and comp sci a bit,little bit of focus/fundinf for cs,high school ,"3 math courses including Alg I, Geo, and one other",,,3 units including Geo and Alg II,,,
Idaho,"If standards have decent component of data analysis, why an F? What do you mean no state focus? Are the standards state standards...?",Same as GA,D-,D-,"Decent stats/some data analysis standards, but nothing else",,Similar to Georgia--are ok standards good enough?,,"Comp sci standards have data analysis section, but fairly limited to direct computer/technological application","Has fairly robust, if mostly theoretical, standards for stats/probability in high school, but doesn't specify what classes/how to include it",Standards based off NGSS framework,some data analytics in business track,In math and comp sci,"$4m in funding, bill passed to require comp sci classes--comp sci is focus at state level","high school, some in middle school","Must take 3 years (including last year of school), including Alg I and Geo","If you complete Alg II, you can count comp sci as a math",Standards applied to cs in every high school,"3 years w/ Alg, Geo (or applied math), and Alg II",,,
Illinois,"If standards have decent component of data analysis, why an F? What do you mean no state focus? Are the standards state standards...?",Same as GA,D-,D-,"Same common core math standards (ok, not great); little else","Incorporate data analysis into definition/required standards for ""computer science literacy""",CC standards Q-starting to think I should shift this up to D/D-,,"In 2023, will require all high schoolers to take a year of a class involving ""computer science literacy,"" which doesn't have to be comp sci (can literally be English if it includes the instruction), ""literacy"" not really defined","Common core math standards, has basic data interpretation/stats instruction",Adopted,"Decent instruction on data and technology (e.g. vizualization, presentation) in finance and business section","In math slightly, data analysis potentially in other classes given that standards haven't been defined","State currently developing comp sci standards, comp sci a priority","mostly high school, but some computer education required throughout K-12","3 years of math including Alg I, something with geometry (does not specify it has to be only geo, so flexible), and a third which can be comp sci",AP comp sci is required to count as a math credit,"Access limited now, but given recent legislation will increase","3-3.5 years required, 4 years recommended",,,
Indiana,,,C-,C-,Similar stats standards to common core; has additional course offerings that cover some stats applications; comp sci standards also cover some data analysis,Make data science more prevalent in core math classes; could create elective dedicated to data science,,,"Comp sci standards include data vizualization, applications to the real world, STEM plan gives some room for data science","Post Alg II, Quantitative Reasoning class has standards invovling real-life data interpretation, collection, vizualization, though still somewhat theoretical but emphasizes tech use; also a Stats/Probability course",Standards based off NGSS framework,little bit of data analytics in a few tech areas,"Quantitative Reasoning/Stats courses are separate, some aspects incorporated into comp sci","comp sci/STEM seem to have some momentum, but not data science specifically",high school,"Requires math/quantitative reasoning each year of high school, with Alg, Geo, Alg II (or integrated math I, II, III)",Data science relevant courses seem to come after Alg II; comp sci does not appear to fall under math,Statewide standards; unclear if all district offer the more specialized courses after Alg II,"3.5 years, including 2 of Alg, 1 of Geo, and at least half a yr of trig, pre-calc, or calc",,,
Iowa,Maybe this could be an F then?,,F,F,Common core math standards; little else,Incorporate more data analysis into math standards,,,Reccomended math standards have stats/probability based on Common Core,"Follows CSTA K-12 standards, has limited instruction on data literacy/analysis ",Adopted,"recommended standards have data analysis in business, STEM",little in math/comp sci,"comp sci has been a focus at the state level, but the adopted standards don't have much data science",high school is where relevant concepts are taught,"3 years of math required, any details beyond this are determined by the district","Districts are ""encouraged"" to count comp sci as a math credit, and integrated cs/math courses count for credit as well","Required comp sci by 2022 in high schools, 2023 in K-8, math standards are recommended","3 years, including Alg I, Alg II, Geo",,,
Kansas,,,D-,D-,Very little in math standards; a bit in optional comp sci standards,Incorporate more data analysis into math standards; state initiative needed,Completely (or mostly) disregarding comp sci?,,"Comp Sci standards adopted 2019 have small section on data analysis and vizualization, not really detailed",Math standards cover some probability and a little bit of data analysis,Adopted,some data analysis in comp sci section,in comp sci/math,little bit of focus on comp sci,high school,"3 years of math required including something w/ algebra and geo, but the scholars program requires Alg I, Geo, Alg II, and one more",,"standards statewide, comp sci access historically low",doesn't specify,,,
Kentucky,,,D,D,"Thorough math standards covery data analysis, suggest using tech",Expand into elective data science courses; ensure standards sprea across multiple classes,,,"Math standards thoroughly cover basic stats, suggests use of technology. Very basic data analysis section (using tech) in comp sci standards adopted 2020.",Louisville initiative expanding comp sci/other STEM education to high schools and increasing access at college level,Adopted,"data analytics in business, computer science program",part of comp sci/math,very little focus at state level,high school,"4 math credits required, including Alg I, Geo, and two others",Comp sci does not appear to count for math credit,"access good in some areas, not others","Alg I, Alg II, Geo",,,
Louisiana,,,F,F (D-),Same cc standards; little else,"State plan; incorporate data science into math, other classes",,,Limited standards in Geo and Alg II involving stats; later math courses may involve data science but I can't find much info on them,No statewide comp sci standards,Standards based off NGSS framework,Some courses on data analysis/computational thinking in partnership w/ LSU,tiny bit in math,"little focus at state level, but more generally there has been education reform",high school,"Career diploma requires 4 math courses, one of which is Alg; the university-ready diploma requires 4 courses incluing Alg I, Geo, Alg II, and one other",,"standards are statewide, comp sci not super widespread","4 yrs math, including Alg I, Alg II, Geo, and a math elective from the list",,,
Maine,,,F,"F (D-,D)",Same cc standards; want to integrate comp sci into other classes but not clear standards/data analysis sections,Integrate data science into other classes along with comp sci,What standards apply to comp sci?,,"Basic stats in math curriculum, no guidance for comp sci (encourage incorporation into other classes)","CTE education in specialized high schools and extended to middle school, but programs don't seem to cover data science",Adopted,,"incorporated into math, comp sci (and maybe data analysis) incorporated into other classes","some focus on CTE, but not on comp sci or data science",middle and high school for CTE,"Minimum 2 years of math, standards up to districts",,"seems pretty limited beyond basic stats, certain districts may be better","Generally Alg I, Alg II, Geo",,,
Maryland,"CHAT: Let's check with Debbie. I know they are trying to introduce optional courses in data science. ZD: +1, grade seems low",,C-,* C-,"Only a bit of data analysis in Alg II; comp sci is being pushed by the state and has a data analysis section in standards, but very vague/short (like the rest of the standards)",State plan; make data analysis component of comp sci more specific and extensive; incorporate data science into other classes as well,,,"Lot of support for comp sci, but standards don't focus very much on data analysis","Math standards organized into Alg, Alg II, and Geo, with very little stats/data analysis",Adopted,some working with data in business applications,in comp sci a bit,"heavy focus on comp sci at state level, data analysis could be added to this more",high school and middle school,4 years as of more recent policy including Alg I and Geo,,comp sci very widespread,"4 years including Alg I, Alg II, Geo, and a higher math course if Alg II completed in junior year",,,
Massachusetts,"Let's give them a B-. We talked to the State Math Lead and she is legit and introducing stuff. AS: Should they be this high up, they don't seem to have a super heavy focus on mandatory data science ",Details anywhere?,B-,* B-,"CC standards; Digital literacy standards (K-12) do cover data, though somewhat computer heavy (not much math); Science standards have good focus on interpreting and analyzing data (graphs, measurments)",More recognition at state level that data analysis is part of digital literacy; expand it in the standards and put more data analysis in earlier grades,,,"Very thorough standards related to digital literacy, computer science, and data; in addition math standards cover stats",,Standards based off NGSS framework,"little info given on programs, but doesn't look promising (outdated)",in math and comp sci,not much focus on it now due to highly developed standards,all grades,"Recommends 4 years, but graduation standard is based off performace on a test, which seems to cover traditional math concepts",Comp sci can be taken in place of math,"Computer science appears to be recommended in many cases but not required (for instance required in Boston public schools), most schools teach it","4 years, Alg II minimum",,,
Michigan,,,D-,D-,Usual cc standards; comp sci standards vague,"State plan; incorporate data science into math, other classes",,,Basic stats/data interpretation in math standards,Limited standards related to data vizualization w/ tech in comp sci,Adopted,"Advance CTE standrds good in business, Stem for data analysis",in traditional math and comp sci,,high school,"Requires 4 years of math, including 3 years covering math standards ",4th year allows for flexibility,Comp sci not very widespread,"Doesn't specify, but presumably through Alg II given it's rigorous nature",,,
Minnesota,,,C-,C-,"Thorough, clear data analysis standards within math; however somewhat outdated so no specifications on technology","Incorporate more technology for analysis, put into other classes as well",,,Fairly thorough and practical standards related to statistics/data interpretation; nothing related to technology,"Recommends CSTA standards for comp sci, don't have much on data anaysis",Standards based off NGSS framework,A bit in the business classes,in math sequence,not much focus,high school,"3 credits including coverage of the stats and probability standards, as well as Alg, Geo, and Alg II",Comp sci can fill math credit if it meets math standards (is that even feasible?),"math standards statewide, comp sci not widespread","4 years, including Alg, Geo, ""intermediate algebra"" and a college prep course like pre calc",,,
Mississippi,,,C-,C-,Usual cc standards; good data analysis standards in comp sci; business or comp sci required so fair amount of students take it,Can go up to B or down to a D depending on how many ppl are taking comp sci. Data analysis in comp sci could be more detailed,How many people take comp sci?,,Standard data analysis/stats part of math standards,"Comp sci standards have fairly thorough data analysis component, including vizualization, collection, and pattern recognition",Standards based off NGSS framework,Potentially a bit in business classes,"in math, comp sci","Large state initiative to expand comp sci, initiative driven by C Spire, who is providing funding",mostly middle and high school,Requires 4 years with Alg I and sometimes other classes depending on diploma type,Most diplomas require a year of technology or comp sci instruction (seems actually good),comp sci soon to be required in all high schools,"Requires 3, recommends 4, including 2 units ""higher than Alg I""",,,
Missouri,,,F,F (D),Basic stats instruction; very basic data vizualization,Comp sci data standards could be more thorough and widespread; state plan,,,Limited standards involving stats in Alg I and II,Very basic data analysis section in comp sci standards,Standards based off NGSS framework,Some in the business/info tech section,"bit in math, comp sci ",Some focus on comp sci,"middle, high school","3 years required to graduate, 4 recommended. Given standards Alg I, Alg II, and Geo are standard","Can sub one comp sci credit for math, science, or practical arts requirement",comp sci not required in high school,"4 units of Alg I and higher (doesn't list stats, comp sci, or data analysis in acceptable courses)",,,
Montana,,,F,F (D-),Usual cc standards; vague data analysis standards for comp sci,,Count comp sci?,,"Comp sci standards cover some data analysis, especially tech tools",Limited stats instruction for high school standards,Standards based off NGSS framework,"Not much, perhaps touched on in business classes","in math, comp sci",recently introduced comp sci standards,"comp sci standards for K-12, relevant stuff in high school","3 credits of math, 1 year of CTE",,comp sci not required in high school,"3 years (4 encouraged) of Alg I, Geo, Alg II",,https://www.education.ne.gov/nce/cis/,
Nebraska,,,D-,D-,"Math standards have data analysis, though somewhat theoretical","Incorporate more technology, familiarity with larger data sets into standards; incorporate into other classes",,,Very basic stats instruction in grades 9-11 standards,No comp sci standards,Standards based off NGSS framework,unclear,"in math and maybe comp sci, but district dependent for the most part",Very little initiative; some focus on career readiness that currently doesn't include comp sci,district dependent,"No obvious statewide standards, but individual districts usually require 3 or 4 years",,comp sci not super widespread,"4 years including Alg I, Alg II, Geo, and math beyond Alg II",,,
Nevada,,,D-,D- (D+),Usual cc standards; very vague data analysis section in comp sci but some comp sci/tech education is required,Expand and elaborate on data analysis in comp sci and math standards; more state-level focus,,,Very basic stats instruction in high school math standards,"Data analysis section of comp sci standards, but vague and fairly computer/technology heavy",Adopted,"has comp sci, maybe some business analytics",comp sci/math,"high schools required to provide comp sci, but no other initiative",middle and high school,"3 credits of math, including Alg I and Geo",0.5 credits of technology or comp sci also required,"comp sci appears to be widespread, but not always common to take it","3 units, Alg I and higher",,,
New Hampshire,"Let's talk about these two, cuz I think it is an interesting case. On one hand, NJ has better standards and requirement. But on the other, NH seems to actually have looser graduation requirements, which enable students to actually take classes in statistics/probabilities, data visualization, etc. How should we grade two?",NH's standards still seem to allow for some stats/probability?,C-,C-,Usual cc standards; tech standards required for middle and high school do cover vizualizing and modeling data (CSTA); encourages students to take comp sci and schools to integrate it with other courses,"Expand data analysis in math, potentially other classes; incorporate data interpretation as well; require instead of suggest integration",,,"Uses common core for math, section in high school on interpreting data, not very detailed/practical","Comp sci standards required for graduation (3A)  include data vizualization and modeling using tech, elective standards (3B) involves simulations, models, and data patterns",Adopted,,"comp sci/math, other classes","encourage incorporation/integration of standards into other classes, not just comp sci","comp sci standards K-12, most relevant material high school",3 credits of math covering math standards that include stats and probability,"0.5 credit in ""information and communications technology""",Some of the comp sci standards are required for graduation,"3 years, including Alg I, Alg II, Geo",,,
New Jersey,,,C+,C+,"Usual cc standards; required tech standards (for 2022, already passed) require data vizualization, representation, and transformation; does specific ""21st century themes"" be integrated into education but does not explicitly list data science",Include more data interpretation; incorporate more into math; list data science as necessary 21st century theme,Better standards then NH,,"Uses common core for math, section in high school on interpreting data, not very detailed/practical","Data & analysis sections of comp sci standards covers data science thoroughly--how to collect, understand, and interpret data and data sets",Adopted,"Career tech standrds good in business, Stem for data analysis","in comp sci/math, bit in other classes","standards just passed, comp sci seems priority",high school for relevant material,"3 years of math, including Alg I, Geo, and a third year that ""builds on the concepts""",Required technology standards integrated throughout the courses. AP Comp Sci classes can satisfy math requirements,"comp sci required in all high schools, seems more common than other states",doesn't list,,,
New Mexico,,,D-,D-,"Straightforward: some comp sci and math standards, no state focus",State plan; expand standards and for comp sci make mandatory/highly encouraged,,,"Uses common core for math, section in high school on interpreting data, not very detailed/practical","Follows CSTA K-12 standards, has very limited instruction on data literacy/analysis ",Adopted,,"in math, comp sci","Focus on comp sci, grants for k-8 comp sci programs",mostly high school,"4 units of math, including Alg II. After Alg II, students can use comp sci to fill the requirement",,"math standards statewide, comp sci not widespread or required in high school",doesn't list,,,
New York,,,D+,D+ (C-),Usual cc standards w/ notes; required tech standards have some data analysis but not detailed ,"Expand data analysis standards in tech standard, make more detailed; expand data interpretation into math, other classes",,,"Required comp sci and digital fluency standards (Dec 2020, not yet implemented) cover data analysis and dealing with large data sets, modeling, predictions, interpretation, etc",Basic/standards stats and probability instruction in math standards,Standards based off NGSS framework,"Advance CTE standrds good in business, Stem for data analysis","in math, data analysis to be incorporated into other classes",In process of implementing comp sci/digitial literacy standards into classes; currently developing curricula and will be required 2023-2024 school year,"mostly high school, some in middle school","3 years of math, including one year of ""advanced math"" such as geo or Alg II",,"standards statewide, in process of implementation",3 years of college prep math,,,
North Carolina,Should this be the same as New Mexico? It seems better.,Upped slightly,D,D,More detailed version of cc standards so mostly theoretical stats; vague comp sci standards for data analysis,Include more data interpretation and analysis; push comp sci more and make standards more detailed,,,"Some stats instruction in Math 1 & 3; covers very basic plots, stats concepts","Comp sci standards have focus on data modeling/vizualization w/ tech, not much on interpretation",No,CTE supports comp sci; part of middle and high school,"in math, comp sci","Comp sci standards adopted recently, not much focus beyond that ","mostly high school, some in middle school","Generally Math 1, 2, 3, and another course ""aligned with post high school plans""","Elective options include, but don't required, CTE",Math standards statewide; comp sci not required in high schools,"4 years, generally Alg I, Alg II, Geo, and a unit beyond that",,,
North Dakota,,,D-,D-,Usual cc standards; has a very small bit on data analysis in comp sci standards but is at least direct,Expand data science content in standards; state-level plan,,,"Basic stats section in math standards, including interpreting stats and making decisions with probability",Limited data representation instruction in required comp sci standards for high school,Standards based off NGSS framework,Has programming classes for CTE,"in math, comp sci",Recently passed comp sci standards,high school,"3 units of math, which can include 1 of comp sci",,Comp sci not super widespread,3 years of Alg I and above,,,
Ohio,ZD: This should be higher: they have a full pilot last year: http://education.ohio.gov/Topics/Learning-in-Ohio/Mathematics/Resources-for-Mathematics/Math-Pathways/Data-Science-Foundations,"Pilot looks good, I'll put them up to a C+ and can go higher if we feel this is widespread/they've done a particularily good job",C+,* C+,Cc standards but more detail; vague standards for data analysis in comp sci,State-level plan; expand/elaborate on standards in math and comp sci,,,"Thorough stats section of math standards including interpreting data, drawing conclusion, and modeling w/ tech","Vague standards on data analysis for comp sci, implementation going to depend on district",No,Has programming classes for CTE,"in math, comp sci (comp sci standards at foundational level are worked into other classes)",Comp sci expanding in the state,mostly high school,"Earning a diploma requires passing tests in addition to four math credits, which must include Alg II or equivalent. Advanced comp sci can sub for Alg II",,comp sci not super widespread,"4 units of math, including Alg II",,,
Oklahoma,,,F,F,Standards cover very basic stats; tiny bit in comp sci,State-level plan; add in much more data science concepts to standards,,,Very limited standards covering basic stats concepts,Basic data analysis section of comp sci standards,Standards based off NGSS framework,,"in math, comp sci",comp sci standards recently adopted,high school,"3 units required, one can be comp sci. Standards classes appear to be Alg I, Geo, Alg II",,"comp sci expanding, hs now required to provide it","3 units of ""college prep math"", which is standards sequence and above Alg II",,,
Oregon,UPDATE: Oregon taking the updated standards to our State Board for first read next week. The standards will include a K-12 data reasoning progression which was drafted last spring with the help of ASA facilitating the conversation,"Has standards, though not super detailed. Also found older document suggesting pathways--did anything come out of this? Putting Oregon tentatively to a C, will likely change",B+,B+,Usual cc standards; state wants to make plan to give digital literacy and comp sci education to everyone but no details yet,Really flesh out STEM plan; include more explicit goals around data literacy; implement units/action items,Do they have any specific goals related to data science?,,"Uses common core for math, section in high school on interpreting data, not very detailed/practical",State stem plan has goal of creating plan to provide digital literacy and comp sci education to all students ,Adopted,,"in math, maybe comp sci depending on the district",Stem plan appears to be a step in the right direction,high school mostly,3 units of Algebra I and above,,Comp sci not very widespread,"3 years, including Alg II or above",,,
Pennsylvania,,,F,F,Vague stats standards; basic comp sci standards,State-level plan; add in much more data science concepts to standards,,,Very vague standards for stats in math,"Follows CSTA K-12 standards, has very limited instruction on data literacy/analysis ",No,"Path to graduation through CTE, but doesn't really incorporate data science concepts",small bit in math/comp sci,No initiative beyond fairly flexible graduation paths,high school,Passage of 3 tests or a few other paths including a CTE one,,standards statewide,"don't list, but presumably rigorous traditional sequence",,,
Rhode Island,,,D+,D+,CC standards but with encouragement to use calculators/spreadsheets; good data analysis in comp sci if not super detailed,State-level plan; make comp sci more widespread/mandatory (is better than other states),,,Standard but thorough instruction in stats/probability in math standards,"Comp sci standards involve modeling data, analysis of data sets, vizualization, fairly thorough",Adopted,,"In math, comp sci","Brand new math standards, comp sci standards fairly new",middle and high school,4 years of math,,"standards statewide, comp sci widely available","3 years, including Alg I, Alg II, Geo",,,
South Carolina,,,D,D,"Good middle school stats, but very little in Alg I/Alg II. Optional class has good data analysis",Some of the optional class standards should move to mandatory classes; more state focus on data analysis as opposed to stats,,,"Math standards include basic stats, analyzing claims/data in published material, fitting trend lines to data, etc ","Com sci standards cover data vizualization and collection, and modeling to find trends/prediction",Standards based off NGSS framework,not clear,"In math, comp sci","Comp sci required for graduation, eliminated option to take keyboarding to fill requirement","High school, bit in middle school","4 years of math, 1 year of computer science required to graduate",,comp sci and math standards required and statewide,"4 years, including Alg I, Geo, Alg II, and something beyond Alg II such as precalc or comp sci",,,
South Dakota,,,F,F,Usual cc standards,State-level plan; add more data science into math standards; other classes,,,"Stats section of math standards is vague, not very detailed and quite short","No comp sci standards,",Standards based off NGSS framework,"Standards cover some math and stats for business, Stem applications",In math,Math standards are fairly new,high school,"3 units of math, including Alg I. Alg II and Geo are recommended for advanced endorsements","Comp sci can be a science elective, though it can't replace bio",comp sci not widespread,"3 years ""advanced mathematics""",,,
