State,Updated Notes,Changes,Final Grade,Grade for Visualization,Grade (anything in parentheses is more generous grading),Reasoning (Presentable),Reasoning,How to improve (rough thoughts),Questions,Math Standards Link,Standards/curriculum cont.,CS Standards Link,Standards related to data science,"NGSS- Have data analysis, interpretation, modeling; though very narrowly focused on science concepts, not clear how advanced/applicable it will be ",CTE if it has relevant material (if nothing then no state-wide list),CTE Hyperlink,Separate class/curriculum or incorporated into other classes,Taking Initiative/state level focus? (has it been in the news recently/are there dedicated programs),Levels of instruction,"Grad Requirements (flexibility) in math, data science (note individual districts may have more specifics)",Grad Requirement cont.,Availability/Access,Public university entry requirements  math- most specify they want you to take challenging courswork,Other notes,,Other
Hawaii,,,D-,D,D-,"Hawaii only has very basic statistics and data analysis standards in mathematics, and while it has adopted the NGSS science standards, does not further emphasize data analysis in other subjects. We suggest expanding and clarifying math standards in order to cover data science and applied statistics.","Straightforward: some comp sci and math standards, no state focus",State plan; incorporate data analysis standards into classes,,http://www.corestandards.org/Math/Content/HSS/ID/,"Uses Common Core for math, has section on interpreting data",https://www.csteachers.org/page/standards,"Follows CSTA K-12 standards, has limited instruction on data literacy/analysis ",Adopted,not much,N/A,In math and comp sci a bit,little bit of focus/fundinf for cs,high school ,"3 math courses including Alg I, Geo, and one other",,,3 units including Geo and Alg II,,,
Idaho,,,D-,D,D-,"Idaho has decent statistics standards, but limited standards regarding data science. We suggest expanding and clarifying the math standards regarding data science and applied statistics within math frameworks.","Decent stats/some data analysis standards, but nothing else",,Similar to Georgia--are ok standards good enough?,https://www.sde.idaho.gov/academic/standards/,"Has fairly robust, if mostly theoretical, standards for stats/probability in high school, but doesn't specify what classes/how to include it",https://www.sde.idaho.gov/academic/computer-science/,"Comp sci standards have data analysis section, but fairly limited to direct computer/technological application",Standards based off NGSS framework,some data analytics in business track,N/A,In math and comp sci,"$4m in funding, bill passed to require comp sci classes--comp sci is focus at state level","high school, some in middle school","Must take 3 years (including last year of school), including Alg I and Geo","If you complete Alg II, you can count comp sci as a math",Standards applied to cs in every high school,"3 years w/ Alg, Geo (or applied math), and Alg II",,,
Illinois,"New Illinois CS requirement is quite sweeping. Not math integration yet, but wanted to recognize.",Update upwards,C-,C,C-,"Illinois adopts Common Core math standards, which include very limited standards regarding data science and applied statistics. We suggest incorporating data analysis standards into the math framework, and/or launching pilot data science electives in selected high schools. Illinois's new requirement for all high schools to offer computer science courses by 2023-24 school year will likely boost enrollment in CS, with CS standards for 6-12 including relatively robust data science units. However, this coursework will not be required of all students, and the states new enrollment requirement for ""computer literacy"" in 9th grade has yet to be fully defined.","Same common core math standards (ok, not great); little else","Incorporate data analysis into definition/required standards for ""computer science literacy""",CC standards Q-starting to think I should shift this up to D/D-,https://www.isbe.net/Pages/Math.aspx,"Common core math standards, has basic data interpretation/stats instruction",https://www.isbe.net/Documents/Illinois-Computer-Science-Standards.pdf,"In 2023, will require all high schoolers to take a year of a class involving ""computer science literacy,"" which doesn't have to be comp sci (can literally be English if it includes the instruction), ""literacy"" not really defined",Adopted,"Decent instruction on data and technology (e.g. vizualization, presentation) in finance and business section",N/A,"In math slightly, data analysis potentially in other classes given that standards haven't been defined","State currently developing comp sci standards, comp sci a priority","mostly high school, but some computer education required throughout K-12","3 years of math including Alg I, something with geometry (does not specify it has to be only geo, so flexible), and a third which can be comp sci",AP comp sci is required to count as a math credit,"Access limited now, but given recent legislation will increase","3-3.5 years required, 4 years recommended",,,
Indiana,No action since Commitments is visible. April not sure if you had any more recent conversations with them.,Moved downard,D+,D,D+,"Indiana adopts statistics standards similar to those in the Common Core. The state also has additional course offerings that cover some applied statistics and data analysis. Finally, the state has some data analysis units embedded in computer sciencde coursework. However, most of these offerings are electives and are thus, not taken as widely as the traditional math curricula. We suggest making data science more prevalent in core math classes, and/or creating electives specifically regarding data science.",Similar stats standards to common core; has additional course offerings that cover some stats applications; comp sci standards also cover some data analysis,Make data science more prevalent in core math classes; could create elective dedicated to data science,,https://www.doe.in.gov/math/framework,"Post Alg II, Quantitative Reasoning class has standards invovling real-life data interpretation, collection, vizualization, though still somewhat theoretical but emphasizes tech use; also a Stats/Probability course",https://www.in.gov/doe/students/indiana-academic-standards/science-and-computer-science-2016-2010/,"Comp sci standards include data vizualization, applications to the real world, STEM plan gives some room for data science",Standards based off NGSS framework,little bit of data analytics in a few tech areas,N/A,"Quantitative Reasoning/Stats courses are separate, some aspects incorporated into comp sci","comp sci/STEM seem to have some momentum, but not data science specifically",high school,"Requires math/quantitative reasoning each year of high school, with Alg, Geo, Alg II (or integrated math I, II, III)",Data science relevant courses seem to come after Alg II; comp sci does not appear to fall under math,Statewide standards; unclear if all district offer the more specialized courses after Alg II,"3.5 years, including 2 of Alg, 1 of Geo, and at least half a yr of trig, pre-calc, or calc",,,
Iowa,,,F,F,F,Iowa has very limited standards regarding data science; The state adopts the Common Core with no additional standards. We suggest starting by incorporating more data analysis into math standards or piloting electives on data science. ,Common core math standards; little else,Incorporate more data analysis into math standards,,https://iowacore.gov/standards/mathematics/9-10-11-12/statistics-and-probability,Reccomended math standards have stats/probability based on Common Core,https://educateiowa.gov/pk-12/instruction/computer-science,"Follows CSTA K-12 standards, has limited instruction on data literacy/analysis ",Adopted,"recommended standards have data analysis in business, STEM",N/A,little in math/comp sci,"comp sci has been a focus at the state level, but the adopted standards don't have much data science",high school is where relevant concepts are taught,"3 years of math required, any details beyond this are determined by the district","Districts are ""encouraged"" to count comp sci as a math credit, and integrated cs/math courses count for credit as well","Required comp sci by 2022 in high schools, 2023 in K-8, math standards are recommended","3 years, including Alg I, Alg II, Geo",,,
Kansas,,,D-,D,D-,Kansas only has very basic statistics standards and limited standards regarding data science in math curricula. We suggest expanding and clarifying math standards in order to cover data science and applied statistics.,Very little in math standards; a bit in optional comp sci standards,Incorporate more data analysis into math standards; state initiative needed,Completely (or mostly) disregarding comp sci?,https://community.ksde.org/LinkClick.aspx?fileticket=Fk5h7Uw24Kw%3d&tabid=5276&mid=15449,Math standards cover some probability and a little bit of data analysis,https://www.ksde.org/Agency/Division-of-Learning-Services/Career-Standards-and-Assessment-Services/Content-Area-A-E/Computer-Science,"Comp Sci standards adopted 2019 have small section on data analysis and vizualization, not really detailed",Adopted,some data analysis in comp sci section,N/A,in comp sci/math,little bit of focus on comp sci,high school,"3 years of math required including something w/ algebra and geo, but the scholars program requires Alg I, Geo, Alg II, and one more",,"standards statewide, comp sci access historically low",doesn't specify,,,
Kentucky,,,D,D,C,"Kentucky has very thorough math standards covering data analysis with suggestions for students on how to use technology to engage with data. However, we haven't seen much evidence regarding how those standards are being implemented in the classroom. We suggest offering electives courses in data science in an attempt to implement those standards more explicitly. ","Thorough math standards covery data analysis, suggest using tech",Expand into elective data science courses; ensure standards sprea across multiple classes,,https://education.ky.gov/curriculum/standards/kyacadstand/Documents/Kentucky_Academic_Standards_Mathematics.pdf,"Math standards thoroughly cover basic stats, suggests use of technology. Very basic data analysis section (using tech) in comp sci standards adopted 2020.",https://education.ky.gov/curriculum/standards/kyacadstand/Documents/Kentucky_Academic_Standards_Computer_Science.pdf,Louisville initiative expanding comp sci/other STEM education to high schools and increasing access at college level,Adopted,"data analytics in business, computer science program",N/A,part of comp sci/math,very little focus at state level,high school,"4 math credits required, including Alg I, Geo, and two others",Comp sci does not appear to count for math credit,"access good in some areas, not others","Alg I, Alg II, Geo",,,
Louisiana,,,F,F,F (D-),Louisiana has very limited standards regarding data science. The state adopts the Common Core with no additional standards. We suggest starting by incorporating more data analysis into math standards and/or piloting electives on data science. ,Same cc standards; little else,"State plan; incorporate data science into math, other classes",,https://www.louisianabelieves.com/resources/library/k-12-math-year-long-planning,Limited standards in Geo and Alg II involving stats; later math courses may involve data science but I can't find much info on them,N/A,No statewide comp sci standards,Standards based off NGSS framework,Some courses on data analysis/computational thinking in partnership w/ LSU,N/A,tiny bit in math,"little focus at state level, but more generally there has been education reform",high school,"Career diploma requires 4 math courses, one of which is Alg; the university-ready diploma requires 4 courses incluing Alg I, Geo, Alg II, and one other",,"standards are statewide, comp sci not super widespread","4 yrs math, including Alg I, Alg II, Geo, and a math elective from the list",,,
Maine,,,F,F,"F (D-,D)",Maine has very limited standards regarding data science. The state adopts the Common Core with no additional standards. We suggest starting by incorporating more data analysis into math standards or piloting electives on data science. ,Same cc standards; want to integrate comp sci into other classes but not clear standards/data analysis sections,Integrate data science into other classes along with comp sci,What standards apply to comp sci?,https://www.maine.gov/doe/sites/maine.gov.doe/files/2021-05/1.%20Mathematics%20Standards%202%2018%202020.pdf,Basic stats in math curriculum,https://www.maine.gov/doe/learning/ltt/computerscience,No guidance for comp sci (encourage incorporation into other classes),Adopted,"CTE education in specialized high schools and extended to middle school, but programs don't seem to cover data science",N/A,"incorporated into math, comp sci (and maybe data analysis) incorporated into other classes","some focus on CTE, but not on comp sci or data science",middle and high school for CTE,"Minimum 2 years of math, standards up to districts",,"seems pretty limited beyond basic stats, certain districts may be better","Generally Alg I, Alg II, Geo",,,
Maryland,Course development has yet to be completed.,Moved down slightly.,C+,C,C,"Maryland is working to develop and pilot an online high school data science elective available to all students. The state also has data analysis standards in Algebra II and Computer Science standards. We are excited to watch the growth of the data science elective in mathematics, and suggest further expanding and clarifying the data science standards in the core math curriculum.","Only a bit of data analysis in Alg II; comp sci is being pushed by the state and has a data analysis section in standards, but very vague/short (like the rest of the standards)",State plan; make data analysis component of comp sci more specific and extensive; incorporate data science into other classes as well,,https://mdk12.msde.maryland.gov/INSTRUCTION/StandardsandFrameworks/mathematics/Pages/default-mathematics.aspx,"Math standards organized into Alg, Alg II, and Geo, with very little stats/data analysis",https://marylandpublicschools.org/programs/Documents/CTE/K-12StandardsLandscape.pdf,"Lot of support for comp sci, but standards don't focus very much on data analysis",Adopted,some working with data in business applications,N/A,in comp sci a bit,"heavy focus on comp sci at state level, data analysis could be added to this more",high school and middle school,4 years as of more recent policy including Alg I and Geo,,comp sci very widespread,"4 years including Alg I, Alg II, Geo, and a higher math course if Alg II completed in junior year",,,
Massachusetts,"Let's give them a B-. We talked to the State Math Lead and she is legit and introducing stuff. AS: Should they be this high up, they don't seem to have a super heavy focus on mandatory data science ",,B-,B,* B-,"Massachusetts has impressively incorporated computational thinking into math, digital literacy, computer science and science frameworks, with a focus on data in several areas, with an emphasis on modern technology tools. Data science courses are also approved in the state catalogue for optional high school electives. However, data science or intensive technology-based immersion has yet to be required in core sequences. We suggest integrating a required course specifically about data science, as well as embedding more data analysis in earlier grades (middle school and earlier) throughout subjects.","CC standards; Digital literacy standards (K-12) do cover data, though somewhat computer heavy (not much math); Science standards have good focus on interpreting and analyzing data (graphs, measurments)",More recognition at state level that data analysis is part of digital literacy; expand it in the standards and put more data analysis in earlier grades,,https://www.doe.mass.edu/frameworks/math/2017-06.pdf,"Very thorough standards related to digital literacy, computer science, and data; in addition math standards cover stats",https://www.doe.mass.edu/stem/dlcs/,,Standards based off NGSS framework,"little info given on programs, but doesn't look promising (outdated)",N/A,in math and comp sci,not much focus on it now due to highly developed standards,all grades,"Recommends 4 years, but graduation standard is based off performace on a test, which seems to cover traditional math concepts",Comp sci can be taken in place of math,"Computer science appears to be recommended in many cases but not required (for instance required in Boston public schools), most schools teach it","4 years, Alg II minimum",,,
Michigan,,,D-,D,D-,"Michigan adopts Common Core math standards, which includes very limited knowledge regarding data science and applied statistics. We suggest starting by incorporating more data analysis into math standards and/or piloting electives on data science. ",Usual cc standards; comp sci standards vague,"State plan; incorporate data science into math, other classes",,https://www.michigan.gov/documents/mde/K-12_MI_Math_Standards_REV_470033_7_550413_7.pdf,Basic stats/data interpretation in math standards,https://www.michigan.gov/documents/mde/CompSci_Standards_Accessible_Final_655284_7.pdf,Limited standards related to data vizualization w/ tech in comp sci,Adopted,"Advance CTE standrds good in business, Stem for data analysis",N/A,in traditional math and comp sci,,high school,"Requires 4 years of math, including 3 years covering math standards ",4th year allows for flexibility,Comp sci not very widespread,"Doesn't specify, but presumably through Alg II given it's rigorous nature",,,
Minnesota,,,C-,C,C-,"Minnesota has thorough and clear data analysis standards within the math framework. However, we feel the standards are slightly outdated, with no mention on the use of the statistical tools core to modern data analysis.  We suggest revisiting the standards to include more content related to real-world applications of data and statistics.","Thorough, clear data analysis standards within math; however somewhat outdated so no specifications on technology","Incorporate more technology for analysis, put into other classes as well",,https://education.mn.gov/MDE/dse/stds/Math/,Fairly thorough and practical standards related to statistics/data interpretation; nothing related to technology,https://education.mn.gov/MDE/dse/stds/ComputerScience/,"Recommends CSTA standards for comp sci, don't have much on data anaysis",Standards based off NGSS framework,A bit in the business classes,N/A,in math sequence,not much focus,high school,"3 credits including coverage of the stats and probability standards, as well as Alg, Geo, and Alg II",Comp sci can fill math credit if it meets math standards (is that even feasible?),"math standards statewide, comp sci not widespread","4 years, including Alg, Geo, ""intermediate algebra"" and a college prep course like pre calc",,,
Mississippi,,,C-,C,C-,"Mississippi adopts Common Core math standards, which includes very limited knowledge regarding data science and applied statistics. However, the state has great data science standards within the computer science framework, which itself is required for graduation. We suggest either transfering data science standards to math as well, or piloting a math elective for students who are interested in data science.",Usual cc standards; good data analysis standards in comp sci; business or comp sci required so fair amount of students take it,Can go up to B or down to a D depending on how many ppl are taking comp sci. Data analysis in comp sci could be more detailed,How many people take comp sci?,https://www.mdek12.org/OAE/college-and-career-readiness-standards,Standard data analysis/stats part of math standards,https://www.mdek12.org/OAE/college-and-career-readiness-standards,"Comp sci standards have fairly thorough data analysis component, including vizualization, collection, and pattern recognition",Standards based off NGSS framework,Potentially a bit in business classes,N/A,"in math, comp sci","Large state initiative to expand comp sci, initiative driven by C Spire, who is providing funding",mostly middle and high school,Requires 4 years with Alg I and sometimes other classes depending on diploma type,Most diplomas require a year of technology or comp sci instruction (seems actually good),comp sci soon to be required in all high schools,"Requires 3, recommends 4, including 2 units ""higher than Alg I""",,,
Missouri,,,F,F,F (D),Missouri only has very basic statistics standards and limited standards regarding data interpretation and data visualization. We suggest starting by incorporating more data analysis into math standards and/or piloting electives on data science. ,Basic stats instruction; very basic data vizualization,Comp sci data standards could be more thorough and widespread; state plan,,https://dese.mo.gov/college-career-readiness/curriculum/mathematics,Limited standards involving stats in Alg I and II,https://dese.mo.gov/college-career-readiness/curriculum/computer-science,Very basic data analysis section in comp sci standards,Standards based off NGSS framework,Some in the business/info tech section,N/A,"bit in math, comp sci ",Some focus on comp sci,"middle, high school","3 years required to graduate, 4 recommended. Given standards Alg I, Alg II, and Geo are standard","Can sub one comp sci credit for math, science, or practical arts requirement",comp sci not required in high school,"4 units of Alg I and higher (doesn't list stats, comp sci, or data analysis in acceptable courses)",,,
Montana,,,F,F,F (D-),Montana has very limited standards regarding data science; The state adopts the Common Core with no additional standards. We suggest starting by incorporating more data analysis into math standards and/or piloting electives on data science. ,Usual cc standards; vague data analysis standards for comp sci,,Count comp sci?,http://opi.mt.gov/Educators/Teaching-Learning/K-12-Standards-Revision/Mathematics-Standards,Limited stats instruction for high school standards,http://opi.mt.gov/Educators/Teaching-Learning/K-12-Standards-Revision/Computer-Science,"Comp sci standards cover some data analysis, especially tech tools",Standards based off NGSS framework,"Not much, perhaps touched on in business classes",N/A,"in math, comp sci",recently introduced comp sci standards,"comp sci standards for K-12, relevant stuff in high school","3 credits of math, 1 year of CTE",,comp sci not required in high school,"3 years (4 encouraged) of Alg I, Geo, Alg II",,https://www.education.ne.gov/nce/cis/,
